artist_id,artist_name,external_url
1GRV7IB2LNWKCdG46tsKgT,Alphonse,https://api.spotify.com/v1/artists/1GRV7IB2LNWKCdG46tsKgT
1SJOL9HJ08YOn92lFcYf8a,Shankar Mahadevan,https://api.spotify.com/v1/artists/1SJOL9HJ08YOn92lFcYf8a
2NoJ7NuNs9nyj8Thoh1kbu,Hariharan,https://api.spotify.com/v1/artists/2NoJ7NuNs9nyj8Thoh1kbu
2ae6PxICSOZHvjqiCcgon8,S. P. Balasubrahmanyam,https://api.spotify.com/v1/artists/2ae6PxICSOZHvjqiCcgon8
5qhGpFQDS0CHw4cKeCzaai,Geetha Madhuri,https://api.spotify.com/v1/artists/5qhGpFQDS0CHw4cKeCzaai
7wkeZcQtvDAeGvrTQO2hfK,Sachin Warrier,https://api.spotify.com/v1/artists/7wkeZcQtvDAeGvrTQO2hfK
4K42hgH9ltvSq74hcOC85P,Siddharth,https://api.spotify.com/v1/artists/4K42hgH9ltvSq74hcOC85P
7zAp0JbkavFg2rcMGvANtP,Shakthisree Gopalan,https://api.spotify.com/v1/artists/7zAp0JbkavFg2rcMGvANtP
4mdpB85NeJfThRd0M0a0kf,Jeans Srinivas,https://api.spotify.com/v1/artists/4mdpB85NeJfThRd0M0a0kf
5Rj7UMjxB4u5OZnS5c1rXF,Gopika Poornima,https://api.spotify.com/v1/artists/5Rj7UMjxB4u5OZnS5c1rXF
27dNKsHZrQKGnAlFCLDlzd,Mahati Swara Sagar,https://api.spotify.com/v1/artists/27dNKsHZrQKGnAlFCLDlzd
6ipEeoAsPjI3b0PB2LTIfJ,"Karthik, Priya Hemesh",https://api.spotify.com/v1/artists/6ipEeoAsPjI3b0PB2LTIfJ
6CWBs7ul78QwnBrcOCwhf5,Sagar,https://api.spotify.com/v1/artists/6CWBs7ul78QwnBrcOCwhf5
1qDZDfAzVT3rWAgW9B6h4L,"Nikhil D'Souza, Neha Bhasin",https://api.spotify.com/v1/artists/1qDZDfAzVT3rWAgW9B6h4L
1rdQOMFFtoskDXXUVjiGo9,Shweta Mohan,https://api.spotify.com/v1/artists/1rdQOMFFtoskDXXUVjiGo9
41QXGKV5JORVGLgJmpR5XR,Pranavi,https://api.spotify.com/v1/artists/41QXGKV5JORVGLgJmpR5XR
4W91bbPB2CTSsHwt7eqNl7,Javed Ali,https://api.spotify.com/v1/artists/4W91bbPB2CTSsHwt7eqNl7
4QoJ8BoHjdNimxhVftuiar,Issrath Quadhri,https://api.spotify.com/v1/artists/4QoJ8BoHjdNimxhVftuiar
4IKVDbCSBTxBeAsMKjAuTs,Armaan Malik,https://api.spotify.com/v1/artists/4IKVDbCSBTxBeAsMKjAuTs
4RUN8jnm64ftsLkAEhybFB,Chaitra Ambadipudi,https://api.spotify.com/v1/artists/4RUN8jnm64ftsLkAEhybFB
1C7kjT2jleM2qNGK97amtW,David Simon,https://api.spotify.com/v1/artists/1C7kjT2jleM2qNGK97amtW
6Xwwyea7gPu9LG0nWWHg0v,Saketh Naidu,https://api.spotify.com/v1/artists/6Xwwyea7gPu9LG0nWWHg0v
7xmZPR1ZhC2BtmfhJqwqgm,"Hari Haran, Saindhavi",https://api.spotify.com/v1/artists/7xmZPR1ZhC2BtmfhJqwqgm
3vLK5eWo5XTYd8jAuPs26l,"Raja Hasan, Anoop Rubens, Sravani",https://api.spotify.com/v1/artists/3vLK5eWo5XTYd8jAuPs26l
0PykiHCcDsMPRV7s67qZ1B,Tippu,https://api.spotify.com/v1/artists/0PykiHCcDsMPRV7s67qZ1B
27rK4pP0VMqWiRe7pamKe5,Abhay Jodhpurkar,https://api.spotify.com/v1/artists/27rK4pP0VMqWiRe7pamKe5
7FaGCZiP3s6X7jQTB8EhfI,Naresh Iyer,https://api.spotify.com/v1/artists/7FaGCZiP3s6X7jQTB8EhfI
3R0YzDT1gl2mMDLMrgdNjR,Suchitra,https://api.spotify.com/v1/artists/3R0YzDT1gl2mMDLMrgdNjR
4xlqU0G9EloUPHL1qlmWY6,Gopi Sundar,https://api.spotify.com/v1/artists/4xlqU0G9EloUPHL1qlmWY6
6dEfOjGcbT3HYATS6jETvH,Rambabu Gosala,https://api.spotify.com/v1/artists/6dEfOjGcbT3HYATS6jETvH
2FgHPfRprDaylrSRVf1UlN,Thaman S,https://api.spotify.com/v1/artists/2FgHPfRprDaylrSRVf1UlN
7jOOl1xaMSo9VasjdkIyPE,Sunitha Upadrashta,https://api.spotify.com/v1/artists/7jOOl1xaMSo9VasjdkIyPE
1BIAyVQxDuYrMqZ8H1Faja,S.P. Charan,https://api.spotify.com/v1/artists/1BIAyVQxDuYrMqZ8H1Faja
4xUI2yJe8cZHYGhS8rk1oR,Prudhvi Chandra,https://api.spotify.com/v1/artists/4xUI2yJe8cZHYGhS8rk1oR
0ELxi2SkkovP6w5iUZhMly,K. Krishna Chaitanya,https://api.spotify.com/v1/artists/0ELxi2SkkovP6w5iUZhMly
00sCATpEvwH48ays7PlQFU,Jonita Gandhi,https://api.spotify.com/v1/artists/00sCATpEvwH48ays7PlQFU
5VVN3xZw1i2qihfITZlvCZ,G. V. Prakash,https://api.spotify.com/v1/artists/5VVN3xZw1i2qihfITZlvCZ
4E5oyNFcB3uXLkLdjYmP9Z,Neha Bhasin,https://api.spotify.com/v1/artists/4E5oyNFcB3uXLkLdjYmP9Z
0g5fVrrOznFqf7yfnLd8sE,Nadeesh,https://api.spotify.com/v1/artists/0g5fVrrOznFqf7yfnLd8sE
3boPdM5gG0ZyA6IjZCFsyn,U.V.Jackey,https://api.spotify.com/v1/artists/3boPdM5gG0ZyA6IjZCFsyn
1HUZ6vfsSWpfLoxjgDavEB,Devan Ekambaram,https://api.spotify.com/v1/artists/1HUZ6vfsSWpfLoxjgDavEB
5ie8jKXfEdu6IyZFvAhPna,D.Burn,https://api.spotify.com/v1/artists/5ie8jKXfEdu6IyZFvAhPna
4Rn2NNAPBegkcTSPz54jcc,Shahil Hada,https://api.spotify.com/v1/artists/4Rn2NNAPBegkcTSPz54jcc
4joteb3wCfZYGKjvF0XvLx,Prashanthini,https://api.spotify.com/v1/artists/4joteb3wCfZYGKjvF0XvLx
5PpFJpW1Vj52RQh1FCRyq4,"Swetha Mohan, Sai Karthik",https://api.spotify.com/v1/artists/5PpFJpW1Vj52RQh1FCRyq4
4L0JycQCCwKksT3G5SVApu,Shweta Pandit,https://api.spotify.com/v1/artists/4L0JycQCCwKksT3G5SVApu
